date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:02	93679/93679	---M--	200	added ('OK')	image/jpeg	etag:%2216def-59b9f14b4611e%22	https://www.designesia.com/themes/archi-main/images/misc/pic_17.jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/misc/pic_17.jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:02	59000/59000	---M--	200	added ('OK')	image/jpeg	etag:%22e678-59b9f1aea350a%22	https://www.designesia.com/themes/archi-main/images/team-2/team_pic_1.jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/team-2/team_pic_1.jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:03	114630/114630	---M--	200	added ('OK')	image/jpeg	etag:%221bfc6-59b9f14c72d92%22	https://www.designesia.com/themes/archi-main/images/misc/pic_18.jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/misc/pic_18.jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:03	58492/58492	---M--	200	added ('OK')	image/jpeg	etag:%22e47c-59b9f1aeae0ea%22	https://www.designesia.com/themes/archi-main/images/team-2/team_pic_2.jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/team-2/team_pic_2.jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:05	57235/57235	---M--	200	added ('OK')	image/jpeg	etag:%22df93-59b9f1afea75d%22	https://www.designesia.com/themes/archi-main/images/team-2/team_pic_3.jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/team-2/team_pic_3.jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:06	46779/46779	---M--	200	added ('OK')	image/jpeg	etag:%22b6bb-59b9f1aff245c%22	https://www.designesia.com/themes/archi-main/images/team-2/team_pic_4.jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/team-2/team_pic_4.jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:06	2442/2442	---M-Z	200	added ('OK')	text/html	etag:%2298a-59e34a6ffa104-gzip%22	https://www.designesia.com/themes/archi-main/project-details-1.html	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/project-details-1.html	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:07	2358/2358	---M-Z	200	added ('OK')	text/html	etag:%22936-59e34a703c781-gzip%22	https://www.designesia.com/themes/archi-main/project-details-2.html	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/project-details-2.html	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:08	94016/94016	---M--	200	added ('OK')	image/jpeg	etag:%2216f40-59b9f15582293%22	https://www.designesia.com/themes/archi-main/images/portfolio/pf%20(1).jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/portfolio/pf%20(1).jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:08	50920/50920	---M--	200	added ('OK')	image/jpeg	etag:%22c6e8-59b9f15826e97%22	https://www.designesia.com/themes/archi-main/images/portfolio/pf%20(2).jpg	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/portfolio/pf%20(2).jpg	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:08	2364/2364	---M-Z	200	added ('OK')	text/html	etag:%2293c-59e34a70ccffc-gzip%22	https://www.designesia.com/themes/archi-main/project-details-3.html	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/project-details-3.html	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:10	2354/2354	---M-Z	200	added ('OK')	text/html	etag:%22932-59e34a719d013-gzip%22	https://www.designesia.com/themes/archi-main/project-details-youtube.html	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/project-details-youtube.html	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
